,Date,Low,High,Open,Close,Volume
0,2020-12-03 17:56:00,1.8271,1.8274,1.8271,1.8271,24.44
1,2020-12-03 17:57:00,1.8272,1.8284,1.8272,1.8284,302.13
2,2020-12-03 17:58:00,1.826,1.8271,1.8271,1.8268,28.0
3,2020-12-03 18:00:00,1.8284,1.8449,1.8294,1.8335,2906.08
4,2020-12-03 18:01:00,1.8267,1.8309,1.8309,1.8283,494.97
5,2020-12-03 18:02:00,1.8272,1.8341,1.8335,1.8273,205.3
6,2020-12-03 18:03:00,1.8272,1.8272,1.8272,1.8272,94.2
7,2020-12-03 18:04:00,1.8275,1.8314,1.8275,1.8314,906.23
8,2020-12-03 18:05:00,1.83,1.8451,1.8325,1.8306,3712.99
9,2020-12-03 18:06:00,1.8336,1.834,1.8337,1.834,240.57
10,2020-12-03 18:07:00,1.8312,1.8325,1.8325,1.8317,251.12
11,2020-12-03 18:08:00,1.8306,1.8309,1.8309,1.8306,127.8
12,2020-12-03 18:09:00,1.83,1.8306,1.8306,1.8301,114.13
13,2020-12-03 18:12:00,1.8303,1.8337,1.8303,1.8327,761.01
14,2020-12-03 18:13:00,1.83,1.8311,1.8311,1.83,220.18
15,2020-12-03 18:14:00,1.831,1.8345,1.8321,1.831,388.27
16,2020-12-03 18:15:00,1.8305,1.8352,1.8352,1.833,1391.93
17,2020-12-03 18:16:00,1.8305,1.8327,1.8305,1.8327,192.84
18,2020-12-03 18:17:00,1.8306,1.8315,1.8306,1.8315,98.25
19,2020-12-03 18:19:00,1.8306,1.8306,1.8306,1.8306,3.14
20,2020-12-03 18:20:00,1.8309,1.8326,1.8309,1.8321,609.56
21,2020-12-03 18:21:00,1.8311,1.833,1.8323,1.8311,1068.39
22,2020-12-03 18:22:00,1.8304,1.831,1.8306,1.8304,242.83
23,2020-12-03 18:23:00,1.83,1.8314,1.8314,1.8301,191.85
24,2020-12-03 18:24:00,1.83,1.8357,1.8357,1.83,115.05
25,2020-12-03 18:25:00,1.83,1.8306,1.83,1.83,269.1
26,2020-12-03 18:27:00,1.829,1.8354,1.8319,1.8291,1129.9
27,2020-12-03 18:28:00,1.8292,1.8307,1.8295,1.8307,146.47
28,2020-12-03 18:29:00,1.829,1.8309,1.83,1.8298,414.9
29,2020-12-03 18:30:00,1.8298,1.8298,1.8298,1.8298,1.45
30,2020-12-03 18:31:00,1.8291,1.8297,1.8297,1.8291,92.91
31,2020-12-03 18:32:00,1.829,1.8377,1.8294,1.829,756.39
32,2020-12-03 18:33:00,1.8292,1.8293,1.8293,1.8292,14.68
33,2020-12-03 18:34:00,1.8296,1.8346,1.8346,1.8297,334.22
34,2020-12-03 18:35:00,1.829,1.8351,1.8351,1.829,121.74
35,2020-12-03 18:36:00,1.829,1.8304,1.829,1.8301,296.95
36,2020-12-03 18:37:00,1.8294,1.8309,1.8309,1.8294,215.96
37,2020-12-03 18:39:00,1.8294,1.8296,1.8294,1.8296,156.91
38,2020-12-03 18:40:00,1.8295,1.8296,1.8295,1.8296,98.15
39,2020-12-03 18:41:00,1.8296,1.8302,1.8301,1.8302,177.07
40,2020-12-03 18:42:00,1.8296,1.8303,1.8303,1.8296,346.68
41,2020-12-03 18:43:00,1.83,1.8323,1.83,1.832,241.92
42,2020-12-03 18:44:00,1.832,1.832,1.832,1.832,119.32
43,2020-12-03 18:45:00,1.8301,1.832,1.832,1.8317,178.38
44,2020-12-03 18:46:00,1.8306,1.8314,1.8306,1.8314,224.34
45,2020-12-03 18:47:00,1.8297,1.8377,1.8314,1.8377,363.37
46,2020-12-03 18:48:00,1.8297,1.8306,1.83,1.8297,326.52
47,2020-12-03 18:49:00,1.8299,1.831,1.8299,1.831,155.64
48,2020-12-03 18:50:00,1.8311,1.8311,1.8311,1.8311,19.58
49,2020-12-03 18:51:00,1.8311,1.8365,1.8311,1.8324,188.75
50,2020-12-03 18:52:00,1.832,1.8326,1.832,1.8326,205.93
51,2020-12-03 18:53:00,1.832,1.8322,1.8322,1.832,529.91
52,2020-12-03 18:55:00,1.8315,1.832,1.8315,1.8315,120.58
53,2020-12-03 18:56:00,1.832,1.8323,1.832,1.8323,157.74
54,2020-12-03 18:57:00,1.8313,1.8323,1.8323,1.8318,207.33
55,2020-12-03 18:58:00,1.8318,1.832,1.8318,1.8318,105.85
56,2020-12-03 18:59:00,1.8318,1.8318,1.8318,1.8318,10.84
57,2020-12-03 19:01:00,1.8318,1.8321,1.8318,1.832,249.02
58,2020-12-03 19:02:00,1.8313,1.8316,1.8313,1.8313,312.23
59,2020-12-03 19:03:00,1.8313,1.8313,1.8313,1.8313,0.7
60,2020-12-03 19:04:00,1.8314,1.8318,1.8318,1.8314,504.22
61,2020-12-03 19:05:00,1.8313,1.8317,1.8313,1.8317,106.89
62,2020-12-03 19:06:00,1.8313,1.8319,1.8313,1.8316,287.34
63,2020-12-03 19:07:00,1.8313,1.844,1.8351,1.8313,3286.65
64,2020-12-03 19:08:00,1.831,1.8387,1.831,1.8387,110.21
65,2020-12-03 19:09:00,1.8311,1.8345,1.8345,1.8311,89.03
66,2020-12-03 19:10:00,1.8311,1.8318,1.8317,1.8318,194.09
67,2020-12-03 19:11:00,1.831,1.8312,1.8312,1.831,90.91
68,2020-12-03 19:12:00,1.831,1.8313,1.8313,1.831,8.73
69,2020-12-03 19:13:00,1.831,1.8331,1.8331,1.831,202.68
70,2020-12-03 19:15:00,1.8311,1.8314,1.8311,1.8311,313.81
71,2020-12-03 19:16:00,1.8313,1.8321,1.8313,1.8321,36.18
72,2020-12-03 19:17:00,1.8312,1.8313,1.8313,1.8312,36.6
73,2020-12-03 19:18:00,1.8313,1.8327,1.8313,1.8327,401.98
74,2020-12-03 19:19:00,1.831,1.8312,1.8311,1.831,200.86
75,2020-12-03 19:21:00,1.8301,1.831,1.8307,1.8301,28.24
76,2020-12-03 19:22:00,1.83,1.8311,1.8311,1.83,125.9
77,2020-12-03 19:23:00,1.83,1.8314,1.83,1.8312,108.31
78,2020-12-03 19:24:00,1.8298,1.8383,1.8313,1.8383,332.13
79,2020-12-03 19:25:00,1.8298,1.8324,1.8324,1.8299,104.58
80,2020-12-03 19:26:00,1.8298,1.8383,1.8298,1.8383,390.88
81,2020-12-03 19:27:00,1.83,1.836,1.8324,1.8302,1309.81
82,2020-12-03 19:28:00,1.8297,1.8311,1.8306,1.8297,192.6
83,2020-12-03 19:29:00,1.8301,1.8301,1.8301,1.8301,5.75
84,2020-12-03 19:30:00,1.8298,1.8301,1.8298,1.8298,11.47
85,2020-12-03 19:32:00,1.8306,1.8355,1.8355,1.8306,255.36
86,2020-12-03 19:33:00,1.83,1.8407,1.83,1.835,2029.37
87,2020-12-03 19:34:00,1.8305,1.8326,1.8306,1.8308,129.34
