,Date,Low,High,Open,Close,Volume
0,2020-12-03 17:56:00,131.62,131.93,131.8,131.8,72.814
1,2020-12-03 17:57:00,131.68,131.85,131.8,131.68,1.169
2,2020-12-03 17:58:00,131.57,131.75,131.75,131.75,24.0
3,2020-12-03 17:59:00,131.75,132.03,131.76,131.81,112.425
4,2020-12-03 18:00:00,131.59,131.82,131.81,131.59,49.294
5,2020-12-03 18:01:00,131.16,131.74,131.59,131.35,56.781
6,2020-12-03 18:02:00,131.22,131.71,131.35,131.48,62.928
7,2020-12-03 18:03:00,131.5,131.82,131.64,131.57,20.682
8,2020-12-03 18:04:00,131.5,131.82,131.68,131.82,6.746
9,2020-12-03 18:05:00,131.5,131.74,131.51,131.74,2.415
10,2020-12-03 18:06:00,131.34,131.74,131.74,131.6,126.549
11,2020-12-03 18:07:00,131.4,131.56,131.46,131.4,1.155
12,2020-12-03 18:08:00,131.42,131.55,131.42,131.42,1.511
13,2020-12-03 18:09:00,131.38,131.51,131.41,131.38,5.656
14,2020-12-03 18:10:00,131.35,131.52,131.39,131.52,3.626
15,2020-12-03 18:11:00,131.39,131.56,131.42,131.56,11.982
16,2020-12-03 18:12:00,131.49,131.84,131.59,131.82,23.107
17,2020-12-03 18:13:00,131.69,132.03,131.86,131.84,44.857
18,2020-12-03 18:14:00,131.88,132.1,131.88,132.09,170.741
19,2020-12-03 18:15:00,132.23,132.54,132.38,132.54,32.057
20,2020-12-03 18:16:00,132.53,132.91,132.54,132.8,12.872
21,2020-12-03 18:17:00,132.92,133.44,132.92,133.44,158.657
22,2020-12-03 18:18:00,133.44,133.85,133.44,133.85,36.161
23,2020-12-03 18:19:00,133.71,134.0,133.71,134.0,25.036
24,2020-12-03 18:20:00,133.56,134.05,134.0,133.57,48.013
25,2020-12-03 18:21:00,133.58,134.37,133.58,134.04,256.472
26,2020-12-03 18:22:00,133.71,134.58,134.03,133.71,324.826
27,2020-12-03 18:23:00,133.81,134.07,133.88,133.99,15.401
28,2020-12-03 18:24:00,133.71,134.25,134.07,134.0,77.476
29,2020-12-03 18:25:00,133.74,133.96,133.96,133.79,3.409
30,2020-12-03 18:26:00,133.75,133.97,133.88,133.93,16.037
31,2020-12-03 18:27:00,133.77,134.11,133.81,133.93,9.587
32,2020-12-03 18:28:00,133.93,134.21,134.05,134.05,56.596
33,2020-12-03 18:29:00,133.53,134.04,134.04,133.68,32.419
34,2020-12-03 18:30:00,133.65,133.99,133.75,133.65,37.686
35,2020-12-03 18:31:00,133.57,133.8,133.58,133.8,21.899
36,2020-12-03 18:32:00,133.25,133.84,133.84,133.27,73.836
37,2020-12-03 18:33:00,133.23,133.72,133.38,133.6,29.563
38,2020-12-03 18:34:00,133.48,133.78,133.61,133.52,24.062
39,2020-12-03 18:35:00,133.09,133.52,133.52,133.35,47.504
40,2020-12-03 18:36:00,133.14,133.23,133.14,133.21,4.764
41,2020-12-03 18:37:00,133.05,133.24,133.24,133.07,10.16
42,2020-12-03 18:38:00,133.16,133.53,133.16,133.52,25.106
43,2020-12-03 18:39:00,133.61,134.04,133.65,133.94,21.705
44,2020-12-03 18:40:00,133.96,134.69,133.96,134.69,19.37
45,2020-12-03 18:41:00,134.59,135.5,134.7,135.5,99.312
46,2020-12-03 18:42:00,135.08,135.5,135.49,135.47,23.826
47,2020-12-03 18:43:00,135.22,135.49,135.33,135.3,98.237
48,2020-12-03 18:44:00,135.16,135.41,135.16,135.17,49.815
49,2020-12-03 18:45:00,135.14,135.34,135.19,135.34,15.437
50,2020-12-03 18:46:00,134.83,135.28,135.17,134.83,22.824
51,2020-12-03 18:47:00,134.8,134.92,134.86,134.81,4.297
52,2020-12-03 18:48:00,134.79,135.21,134.79,135.16,16.41
53,2020-12-03 18:49:00,134.58,135.1,135.1,134.58,9.958
54,2020-12-03 18:50:00,134.42,134.88,134.7,134.45,49.567
55,2020-12-03 18:51:00,134.31,135.1,134.31,134.95,9.858
56,2020-12-03 18:52:00,135.0,135.19,135.1,135.01,13.648
57,2020-12-03 18:53:00,135.01,135.21,135.01,135.1,3.246
58,2020-12-03 18:54:00,135.1,135.3,135.24,135.2,7.807
59,2020-12-03 18:55:00,134.91,135.32,135.32,134.93,11.521
60,2020-12-03 18:56:00,134.92,135.11,134.97,135.02,0.967
61,2020-12-03 18:57:00,134.86,135.39,135.04,135.39,20.225
62,2020-12-03 18:58:00,135.38,136.36,135.38,136.34,348.62
63,2020-12-03 18:59:00,136.37,137.43,136.37,137.3,337.527
64,2020-12-03 19:00:00,136.54,137.22,137.22,136.73,151.319
65,2020-12-03 19:01:00,136.78,137.22,136.8,137.13,86.874
66,2020-12-03 19:02:00,136.88,137.22,137.15,137.15,41.339
67,2020-12-03 19:03:00,136.82,137.39,137.03,137.27,83.045
68,2020-12-03 19:04:00,136.84,137.22,137.14,136.96,57.01
69,2020-12-03 19:05:00,136.57,137.07,136.95,136.66,55.917
70,2020-12-03 19:06:00,136.51,137.01,136.92,136.51,66.947
71,2020-12-03 19:07:00,136.15,136.58,136.5,136.49,53.261
72,2020-12-03 19:08:00,136.21,136.6,136.49,136.28,45.255
73,2020-12-03 19:09:00,136.09,136.4,136.4,136.13,7.189
74,2020-12-03 19:10:00,135.28,136.28,136.26,135.4,51.859
75,2020-12-03 19:11:00,134.99,135.39,135.23,135.15,19.423
76,2020-12-03 19:12:00,134.54,135.2,135.13,134.68,36.32
77,2020-12-03 19:13:00,134.13,134.59,134.59,134.4,60.9
78,2020-12-03 19:14:00,134.15,134.77,134.41,134.4,89.871
