,Date,Low,High,Open,Close,Volume,Return
0,2021-03-28 23:56:00,7.1171,7.1257,7.1171,7.1257,157.031767,-0.0001403173979540595
1,2021-03-28 23:58:00,7.1214,7.1334,7.1228,7.1334,139.513125,0.0010805955906085796
2,2021-03-29 00:01:00,7.1285,7.141,7.1348,7.1293,1867.868038,-0.0005747609835422551
3,2021-03-29 00:02:00,7.128,7.128,7.128,7.128,1.256344,-0.00018234609288425574
4,2021-03-29 00:03:00,7.1135,7.1278,7.1208,7.1135,559.808999,-0.0020342312008978514
5,2021-03-29 00:05:00,7.1142,7.1255,7.1255,7.1142,120.52889,9.84044422576158e-05
6,2021-03-29 00:06:00,7.1127,7.1194,7.1132,7.1194,20.063289,0.0007309325011946033
7,2021-03-29 00:09:00,7.115,7.121,7.115,7.121,114.718499,0.00022473803972244966
8,2021-03-29 00:10:00,7.1175,7.1285,7.1271,7.12,80.116145,-0.0001404297149276701
9,2021-03-29 00:12:00,7.1304,7.1494,7.1304,7.1494,1264.100472,0.004129213483146099
10,2021-03-29 00:14:00,7.1452,7.1452,7.1452,7.1452,3.503044,-0.0005874618849134317
11,2021-03-29 00:15:00,7.1221,7.1401,7.1401,7.1221,18.099468,-0.0032329395958126117
12,2021-03-29 00:16:00,7.1221,7.1278,7.1222,7.1278,134.982396,0.0008003257466195901
13,2021-03-29 00:17:00,7.1213,7.1317,7.1213,7.1317,84.24549,0.0005471533993659516
14,2021-03-29 00:20:00,7.1182,7.1265,7.1182,7.1265,7.862523,-0.0007291389149852723
15,2021-03-29 00:21:00,7.1175,7.1177,7.1177,7.1175,39.392443,-0.0012628920227321094
16,2021-03-29 00:22:00,7.1196,7.1272,7.1207,7.1272,129.708153,0.0013628380751669056
17,2021-03-29 00:23:00,7.1272,7.1312,7.1272,7.1312,4.824036,0.0005612302166349004
18,2021-03-29 00:25:00,7.1353,7.1462,7.1355,7.1353,78.579871,0.0005749382993045504
19,2021-03-29 00:27:00,7.1354,7.1363,7.1354,7.1363,8.998994,0.0001401482768770279
20,2021-03-29 00:29:00,7.137,7.1486,7.1461,7.137,1389.390303,9.809004666272436e-05
21,2021-03-29 00:30:00,7.1412,7.1552,7.1434,7.1531,2861.485121,0.0022558497968334645
22,2021-03-29 00:31:00,7.1454,7.1454,7.1454,7.1454,3.50221,-0.0010764563615774936
23,2021-03-29 00:32:00,7.1523,7.162,7.1559,7.1523,2938.729073,0.0009656562263833379
24,2021-03-29 00:34:00,7.1549,7.1645,7.155,7.1637,1447.163534,0.0015938928736209945
25,2021-03-29 00:36:00,7.1558,7.162,7.162,7.1572,1230.275715,-0.0009073523458549282
26,2021-03-29 00:38:00,7.1469,7.1571,7.1571,7.1469,78.941519,-0.00143911026658472
27,2021-03-29 00:39:00,7.1439,7.1521,7.1458,7.1507,68.47541,0.0005316990583330572
28,2021-03-29 00:41:00,7.1278,7.1356,7.1356,7.1278,346.325446,-0.003202483672927081
29,2021-03-29 00:42:00,7.1229,7.1282,7.1282,7.1229,150.751846,-0.0006874491427930618
30,2021-03-29 00:44:00,7.1188,7.1332,7.1229,7.1251,174.681437,0.0003088629631189388
31,2021-03-29 00:46:00,7.0831,7.1245,7.1188,7.1245,21750.481936,-8.420934443020833e-05
32,2021-03-29 00:47:00,7.0966,7.1139,7.1139,7.0966,244.691859,-0.003916064285213072
33,2021-03-29 00:48:00,7.0876,7.0938,7.0904,7.0876,43.179729,-0.0012682129470449333
34,2021-03-29 00:50:00,7.1002,7.1002,7.1002,7.1002,79.968409,0.0017777526948472566
35,2021-03-29 00:51:00,7.0849,7.0962,7.0876,7.0962,40.296326,-0.0005633644122701176
36,2021-03-29 00:53:00,7.0849,7.0935,7.0851,7.0849,51.918997,-0.0015924015670357727
37,2021-03-29 00:54:00,7.0836,7.0891,7.0836,7.0891,21.150288,0.0005928100608336706
38,2021-03-29 00:55:00,7.0801,7.0861,7.0835,7.0861,400.363096,-0.0004231848894782342
39,2021-03-29 00:56:00,7.0887,7.0889,7.0888,7.0887,113.175286,0.00036691551064760297
40,2021-03-29 00:58:00,7.077,7.0801,7.0801,7.077,119.359404,-0.0016505141986542515
41,2021-03-29 00:59:00,7.0777,7.084,7.0794,7.0777,108.63297,9.891196834810323e-05
42,2021-03-29 01:01:00,7.088,7.0925,7.088,7.0925,63.138649,0.002091074784181357
43,2021-03-29 01:03:00,7.0748,7.0868,7.0868,7.0834,1114.634131,-0.0012830454705675676
44,2021-03-29 01:07:00,7.0707,7.0819,7.0819,7.0707,433.996105,-0.0017929243018889318
45,2021-03-29 01:08:00,7.0649,7.0768,7.0666,7.0768,232.108279,0.0008627151484295048
46,2021-03-29 01:10:00,7.0565,7.0736,7.0735,7.0565,119.447418,-0.00286852814831573
47,2021-03-29 01:12:00,7.0711,7.0711,7.0711,7.0711,14.308994,0.002069014383901502
48,2021-03-29 01:13:00,7.059,7.0725,7.059,7.063,45.482576,-0.0011455077710682549
49,2021-03-29 01:14:00,7.0625,7.0734,7.0734,7.0625,45.26931,-7.079144839294838e-05
50,2021-03-29 01:17:00,7.0617,7.0725,7.0617,7.0725,16.522257,0.001415929203539834
51,2021-03-29 01:18:00,7.0558,7.0638,7.0638,7.0558,1064.873925,-0.0023612583951926336
52,2021-03-29 01:19:00,7.0653,7.0695,7.0653,7.0683,403.177671,0.0017715921653107536
53,2021-03-29 01:20:00,7.0708,7.0708,7.0708,7.0708,7.540312,0.00035369183537770077
54,2021-03-29 01:21:00,7.0654,7.0727,7.0727,7.0654,80.386878,-0.0007637042484583967
55,2021-03-29 01:22:00,7.0656,7.0779,7.0656,7.0779,8.353443,0.0017691850426018174
56,2021-03-29 01:25:00,7.0664,7.0702,7.0702,7.0664,166.972001,-0.0016247757103095006
57,2021-03-29 01:26:00,7.0587,7.0777,7.0664,7.0659,636.652055,-7.075738707118528e-05
58,2021-03-29 01:27:00,7.0636,7.0659,7.0659,7.0636,440.153326,-0.0003255070125532944
59,2021-03-29 01:28:00,7.069,7.0696,7.0696,7.069,156.527035,0.0007644827000397036
60,2021-03-29 01:29:00,7.0651,7.066,7.0654,7.066,102.367729,-0.00042438817371626136
61,2021-03-29 01:31:00,7.066,7.0762,7.066,7.0673,1132.060533,0.0001839796207190325
62,2021-03-29 01:32:00,7.0587,7.0694,7.0675,7.0647,2280.526102,-0.0003678915568887664
63,2021-03-29 01:33:00,7.0682,7.0725,7.0725,7.0724,445.369312,0.001089925969963268
64,2021-03-29 01:34:00,7.0657,7.0704,7.0673,7.0657,202.101871,-0.0009473446072055802
65,2021-03-29 01:35:00,7.0686,7.076,7.0712,7.0686,148.336593,0.0004104335026962058
66,2021-03-29 01:36:00,7.0746,7.0773,7.0758,7.0773,42.722129,0.0012307953484425038
67,2021-03-29 01:37:00,7.0574,7.0746,7.0746,7.069,3232.414877,-0.0011727636245461026
68,2021-03-29 01:38:00,7.0615,7.0695,7.0631,7.0681,70.791334,-0.000127316452114834
69,2021-03-29 01:39:00,7.0556,7.0598,7.0598,7.0556,119.221804,-0.0017685092174700712
