,Date,Low,High,Open,Close,Volume
0,2019-05-13 18:57:00,5.548,5.548,5.548,5.548,303.1
1,2019-05-13 18:59:00,5.543,5.553,5.553,5.544,2435.9
2,2019-05-13 19:01:00,5.538,5.538,5.538,5.538,285.3
3,2019-05-13 19:02:00,5.539,5.539,5.539,5.539,400.0
4,2019-05-13 19:03:00,5.535,5.535,5.535,5.535,18.0
5,2019-05-13 19:04:00,5.53,5.53,5.53,5.53,400.0
6,2019-05-13 19:09:00,5.54,5.544,5.54,5.544,71.9
7,2019-05-13 19:12:00,5.551,5.553,5.551,5.552,1070.0
8,2019-05-13 19:14:00,5.569,5.573,5.569,5.572,125.0
9,2019-05-13 19:15:00,5.579,5.579,5.579,5.579,0.5
10,2019-05-13 19:17:00,5.573,5.575,5.573,5.575,1200.0
11,2019-05-13 19:19:00,5.556,5.566,5.566,5.556,3000.0
12,2019-05-13 19:22:00,5.598,5.598,5.598,5.598,33.2
13,2019-05-13 19:29:00,5.603,5.603,5.603,5.603,400.0
14,2019-05-13 19:33:00,5.59,5.59,5.59,5.59,29.0
15,2019-05-13 19:36:00,5.587,5.587,5.587,5.587,8.9
16,2019-05-13 19:38:00,5.583,5.588,5.588,5.583,800.0
17,2019-05-13 19:40:00,5.6,5.6,5.6,5.6,0.1
18,2019-05-13 19:47:00,5.592,5.592,5.592,5.592,8.9
19,2019-05-13 19:48:00,5.593,5.593,5.593,5.593,8.9
20,2019-05-13 19:50:00,5.598,5.598,5.598,5.598,4.2
21,2019-05-13 19:52:00,5.587,5.588,5.587,5.588,408.8
22,2019-05-13 19:53:00,5.587,5.587,5.587,5.587,73.5
23,2019-05-13 19:56:00,5.592,5.592,5.592,5.592,17.8
24,2019-05-13 19:57:00,5.584,5.584,5.584,5.584,25.0
25,2019-05-13 19:58:00,5.58,5.58,5.58,5.58,250.0
26,2019-05-13 20:04:00,5.58,5.58,5.58,5.58,5.0
27,2019-05-13 20:05:00,5.595,5.595,5.595,5.595,8.0
28,2019-05-13 20:08:00,5.593,5.593,5.593,5.593,1.7
29,2019-05-13 20:12:00,5.594,5.594,5.594,5.594,8.0
30,2019-05-13 20:15:00,5.596,5.596,5.596,5.596,8.0
31,2019-05-13 20:22:00,5.591,5.591,5.591,5.591,99.9
32,2019-05-13 20:25:00,5.59,5.59,5.59,5.59,400.0
33,2019-05-13 20:26:00,5.599,5.602,5.599,5.602,600.0
34,2019-05-13 20:27:00,5.608,5.623,5.608,5.621,1419.9
35,2019-05-13 20:28:00,5.621,5.637,5.624,5.637,1060.0
36,2019-05-13 20:31:00,5.667,5.667,5.667,5.667,99.9
37,2019-05-13 20:32:00,5.674,5.674,5.674,5.674,1216.9
38,2019-05-13 20:34:00,5.666,5.667,5.667,5.666,50.2
39,2019-05-13 20:42:00,5.674,5.674,5.674,5.674,87.9
40,2019-05-13 20:44:00,5.674,5.674,5.674,5.674,35.3
41,2019-05-13 20:47:00,5.661,5.666,5.666,5.661,81.9
42,2019-05-13 20:48:00,5.665,5.665,5.665,5.665,8.2
43,2019-05-13 20:49:00,5.668,5.668,5.668,5.668,175.5
44,2019-05-13 20:53:00,5.642,5.66,5.66,5.642,279.6
45,2019-05-13 20:54:00,5.651,5.651,5.651,5.651,2.8
46,2019-05-13 20:56:00,5.667,5.667,5.667,5.667,70.4
47,2019-05-13 20:57:00,5.667,5.667,5.667,5.667,58.1
48,2019-05-13 20:59:00,5.666,5.666,5.666,5.666,14.0
49,2019-05-13 21:00:00,5.654,5.654,5.654,5.654,6.0
50,2019-05-13 21:01:00,5.645,5.653,5.653,5.646,125.1
51,2019-05-13 21:02:00,5.646,5.654,5.646,5.654,657.9
52,2019-05-13 21:05:00,5.644,5.644,5.644,5.644,8.8
53,2019-05-13 21:06:00,5.63,5.63,5.63,5.63,208.4
54,2019-05-13 21:07:00,5.646,5.646,5.646,5.646,167.8
55,2019-05-13 21:10:00,5.639,5.639,5.639,5.639,50.0
56,2019-05-13 21:13:00,5.657,5.657,5.657,5.657,400.0
57,2019-05-13 21:15:00,5.678,5.678,5.678,5.678,9.2
