,Date,Low,High,Open,Close,Volume
0,2016-08-27 10:42:00,3.77,3.77,3.77,3.77,0.60182
1,2016-08-27 10:45:00,3.77,3.77,3.77,3.77,0.58359
2,2016-08-27 10:47:00,3.77,3.77,3.77,3.77,71.793497
3,2016-08-27 10:57:00,3.75,3.77,3.77,3.75,0.091023
4,2016-08-27 11:23:00,3.75,3.75,3.75,3.75,0.015286
5,2016-08-27 11:30:00,3.75,3.75,3.75,3.75,0.042329
6,2016-08-27 11:32:00,3.75,3.75,3.75,3.75,0.2811
7,2016-08-27 11:54:00,3.75,3.75,3.75,3.75,60.511872
8,2016-08-27 11:57:00,3.75,3.75,3.75,3.75,44.818345
9,2016-08-27 12:11:00,3.75,3.76,3.76,3.75,3.149606
10,2016-08-27 12:19:00,3.76,3.84,3.76,3.84,60.0
11,2016-08-27 13:39:00,3.8,3.8,3.8,3.8,36.95980093
12,2016-08-27 14:39:00,3.76,3.76,3.76,3.76,116.863829
13,2016-08-27 15:29:00,3.62,3.75,3.75,3.62,352.55650476
14,2016-08-27 17:09:00,3.75,3.78,3.75,3.78,20.0
15,2016-08-27 18:30:00,3.78,3.78,3.78,3.78,10.0
16,2016-08-27 19:33:00,3.78,3.78,3.78,3.78,0.06593974
17,2016-08-27 20:02:00,3.74,3.74,3.74,3.74,0.086183
18,2016-08-27 20:05:00,3.63,3.74,3.74,3.63,10.8575
19,2016-08-27 20:08:00,3.78,3.78,3.78,3.78,4.74766177
20,2016-08-27 20:23:00,3.63,3.63,3.63,3.63,10.0
21,2016-08-27 20:29:00,3.78,3.78,3.78,3.78,0.27489678
22,2016-08-27 23:07:00,3.75,3.75,3.75,3.75,0.1
23,2016-08-28 00:03:00,3.75,3.75,3.75,3.75,0.0239
24,2016-08-28 00:40:00,3.74,3.74,3.74,3.74,0.023234
25,2016-08-28 00:41:00,3.75,3.75,3.75,3.75,1.0
26,2016-08-28 00:53:00,3.74,3.75,3.74,3.75,5.014869
27,2016-08-28 01:09:00,3.74,3.74,3.74,3.74,0.076892
28,2016-08-28 01:11:00,3.75,3.75,3.75,3.75,20.0
29,2016-08-28 04:53:00,3.75,3.75,3.75,3.75,3.2
30,2016-08-28 04:54:00,3.75,3.75,3.75,3.75,8.0
31,2016-08-28 04:55:00,3.75,3.75,3.75,3.75,8.0
32,2016-08-28 04:56:00,3.75,3.75,3.75,3.75,8.0
33,2016-08-28 04:57:00,3.75,3.75,3.75,3.75,6.4
34,2016-08-28 05:09:00,3.7,3.7,3.7,3.7,10.0
35,2016-08-28 05:11:00,3.7,3.7,3.7,3.7,10.0
36,2016-08-28 05:12:00,3.7,3.7,3.7,3.7,10.0
37,2016-08-28 05:15:00,3.7,3.7,3.7,3.7,16.9065
38,2016-08-28 07:41:00,3.62,3.62,3.62,3.62,8.588
39,2016-08-28 08:08:00,3.7,3.75,3.7,3.75,50.0
40,2016-08-28 08:22:00,3.75,3.75,3.75,3.75,0.01
41,2016-08-28 08:23:00,3.75,3.75,3.75,3.75,0.01
42,2016-08-28 09:02:00,3.75,3.75,3.75,3.75,0.206231
43,2016-08-28 09:23:00,3.74,3.74,3.74,3.74,0.040032
44,2016-08-28 09:27:00,3.74,3.74,3.74,3.74,0.021039
45,2016-08-28 09:29:00,3.74,3.74,3.74,3.74,0.021045
46,2016-08-28 09:30:00,3.74,3.75,3.74,3.75,90.367095
47,2016-08-28 09:31:00,3.74,3.74,3.74,3.74,0.063111
48,2016-08-28 09:32:00,3.74,3.74,3.74,3.74,0.021052
49,2016-08-28 09:36:00,3.75,3.75,3.75,3.75,100.0
50,2016-08-28 09:39:00,3.75,3.75,3.75,3.75,41.012346
51,2016-08-28 09:45:00,3.75,3.75,3.75,3.75,0.1
52,2016-08-28 09:47:00,3.72,3.75,3.75,3.72,0.380517
53,2016-08-28 10:02:00,3.75,3.75,3.75,3.75,0.4
54,2016-08-28 10:14:00,3.7,3.7,3.7,3.7,0.020016
55,2016-08-28 10:29:00,3.7,3.7,3.7,3.7,0.02106
56,2016-08-28 10:37:00,3.75,3.75,3.75,3.75,2.0
