,Date,Low,High,Open,Close,Volume
0,2020-08-06 10:31:00,1.5967,1.5967,1.5967,1.5967,66.1
1,2020-08-06 10:32:00,1.5958,1.5967,1.5961,1.5967,66.5
2,2020-08-06 10:33:00,1.5961,1.5982,1.5961,1.5982,672.3
3,2020-08-06 10:34:00,1.5986,1.5993,1.5989,1.5993,209.4
4,2020-08-06 10:36:00,1.599,1.6,1.599,1.5993,809.7
5,2020-08-06 10:37:00,1.5997,1.6017,1.5997,1.6017,2090.1
6,2020-08-06 10:38:00,1.6009,1.6043,1.6009,1.6027,871.2
7,2020-08-06 10:39:00,1.6025,1.6027,1.6026,1.6027,419.4
8,2020-08-06 10:40:00,1.6003,1.6039,1.6028,1.6003,206.8
9,2020-08-06 10:42:00,1.6005,1.6029,1.6005,1.6029,394.1
10,2020-08-06 10:43:00,1.6033,1.6056,1.6033,1.6056,360.0
11,2020-08-06 10:44:00,1.6055,1.6057,1.6057,1.6055,4.8
12,2020-08-06 10:45:00,1.6034,1.6034,1.6034,1.6034,1.0
13,2020-08-06 10:46:00,1.6041,1.6069,1.6041,1.6069,435.7
14,2020-08-06 10:47:00,1.6047,1.6066,1.6066,1.6047,6.8
15,2020-08-06 10:48:00,1.6047,1.6049,1.6049,1.6047,73.3
16,2020-08-06 10:49:00,1.6047,1.6047,1.6047,1.6047,3.0
17,2020-08-06 10:50:00,1.6028,1.6064,1.6047,1.6047,933.6
18,2020-08-06 10:52:00,1.605,1.6061,1.6052,1.6061,5.0
19,2020-08-06 10:53:00,1.6062,1.6068,1.6062,1.6068,105.1
20,2020-08-06 10:54:00,1.6068,1.607,1.607,1.607,103.0
21,2020-08-06 10:55:00,1.6071,1.61,1.6071,1.6076,455.3
22,2020-08-06 10:56:00,1.6076,1.6078,1.6077,1.6078,6.0
23,2020-08-06 10:57:00,1.6055,1.6077,1.6077,1.6061,64.5
24,2020-08-06 10:58:00,1.6062,1.609,1.6062,1.6072,32.3
25,2020-08-06 10:59:00,1.6075,1.6078,1.6075,1.6078,5.2
26,2020-08-06 11:00:00,1.6078,1.6079,1.6079,1.6078,65.7
27,2020-08-06 11:01:00,1.6041,1.6078,1.6078,1.6041,41.9
28,2020-08-06 11:02:00,1.6029,1.604,1.604,1.6031,73.8
29,2020-08-06 11:03:00,1.6033,1.6042,1.6033,1.6039,9.0
30,2020-08-06 11:04:00,1.6044,1.6068,1.6044,1.606,16.0
31,2020-08-06 11:05:00,1.606,1.6072,1.6071,1.6064,9.0
32,2020-08-06 11:06:00,1.6075,1.6077,1.6077,1.6075,3.0
33,2020-08-06 11:07:00,1.6074,1.6076,1.6076,1.6074,4.0
34,2020-08-06 11:08:00,1.6074,1.6075,1.6075,1.6074,31.2
35,2020-08-06 11:09:00,1.6045,1.6073,1.6073,1.605,20.3
36,2020-08-06 11:10:00,1.6047,1.61,1.6047,1.6059,1220.6
