,Date,Low,High,Open,Close,Volume
0,2020-08-06 10:30:00,3.23,3.231,3.23,3.2307,5782.45
1,2020-08-06 10:31:00,3.2302,3.2323,3.2307,3.2321,560.66
2,2020-08-06 10:32:00,3.23,3.2328,3.2302,3.2317,544.76
3,2020-08-06 10:33:00,3.2374,3.2466,3.2374,3.2421,3293.48
4,2020-08-06 10:34:00,3.2382,3.2451,3.2429,3.2382,1038.19
5,2020-08-06 10:35:00,3.2384,3.2417,3.2413,3.2397,222.64
6,2020-08-06 10:36:00,3.2352,3.2406,3.2373,3.2352,2392.62
7,2020-08-06 10:37:00,3.23,3.2388,3.2388,3.2327,3229.18
8,2020-08-06 10:38:00,3.23,3.2327,3.2327,3.2321,301.79
9,2020-08-06 10:39:00,3.2289,3.232,3.232,3.2292,4273.17
10,2020-08-06 10:40:00,3.2245,3.2287,3.227,3.2266,246.03
11,2020-08-06 10:41:00,3.2121,3.224,3.224,3.22,7222.28
12,2020-08-06 10:42:00,3.2115,3.2224,3.2224,3.2149,1173.55
13,2020-08-06 10:43:00,3.2116,3.2158,3.2141,3.2151,197.06
14,2020-08-06 10:44:00,3.2114,3.2164,3.2158,3.2142,327.67
15,2020-08-06 10:45:00,3.214,3.219,3.214,3.2175,1660.54
16,2020-08-06 10:46:00,3.2191,3.2296,3.2191,3.2293,1854.29
17,2020-08-06 10:47:00,3.2256,3.2309,3.2279,3.2277,303.75
18,2020-08-06 10:48:00,3.2298,3.2353,3.2306,3.2353,1592.91
19,2020-08-06 10:49:00,3.2321,3.2366,3.2344,3.2329,1580.54
20,2020-08-06 10:50:00,3.2347,3.2395,3.2364,3.2392,693.43
21,2020-08-06 10:51:00,3.2307,3.2392,3.2392,3.2358,1012.06
22,2020-08-06 10:52:00,3.2313,3.248,3.2313,3.248,4073.08
23,2020-08-06 10:53:00,3.2483,3.2612,3.249,3.261,4949.73
24,2020-08-06 10:54:00,3.2599,3.2645,3.2613,3.2638,963.4
25,2020-08-06 10:55:00,3.262,3.2645,3.262,3.2636,1496.33
26,2020-08-06 10:56:00,3.2634,3.265,3.2634,3.265,555.4
27,2020-08-06 10:57:00,3.2639,3.2679,3.2639,3.2679,1133.16
28,2020-08-06 10:58:00,3.2647,3.2694,3.2649,3.269,3881.43
29,2020-08-06 10:59:00,3.2631,3.27,3.267,3.2679,5071.4
30,2020-08-06 11:00:00,3.2682,3.2719,3.2682,3.2693,8140.19
31,2020-08-06 11:01:00,3.2622,3.2727,3.2692,3.2624,3430.54
32,2020-08-06 11:02:00,3.2568,3.2674,3.2656,3.2674,774.35
33,2020-08-06 11:03:00,3.2647,3.2727,3.2671,3.2727,1231.03
34,2020-08-06 11:04:00,3.2685,3.2782,3.2727,3.2685,25475.85
35,2020-08-06 11:05:00,3.2667,3.273,3.2676,3.2713,2795.52
36,2020-08-06 11:06:00,3.2679,3.2727,3.2706,3.2679,345.55
37,2020-08-06 11:07:00,3.2679,3.273,3.2699,3.2688,4375.4
38,2020-08-06 11:08:00,3.2673,3.27,3.2687,3.27,1374.17
39,2020-08-06 11:09:00,3.27,3.271,3.27,3.27,2104.02
40,2020-08-06 11:10:00,3.2672,3.2701,3.27,3.2672,3790.15
41,2020-08-06 11:11:00,3.2654,3.2709,3.2672,3.2679,4910.29
42,2020-08-06 11:12:00,3.2678,3.271,3.2708,3.268,1164.45
43,2020-08-06 11:13:00,3.268,3.271,3.268,3.271,1668.92
44,2020-08-06 11:14:00,3.2677,3.271,3.271,3.27,489.07
45,2020-08-06 11:15:00,3.2695,3.271,3.27,3.271,1568.71
46,2020-08-06 11:16:00,3.2688,3.2825,3.2709,3.2825,33142.79
47,2020-08-06 11:17:00,3.2809,3.2889,3.281,3.2889,10713.96
48,2020-08-06 11:18:00,3.279,3.2889,3.285,3.2889,31740.2
49,2020-08-06 11:19:00,3.2839,3.2887,3.288,3.2887,3366.16
50,2020-08-06 11:20:00,3.2777,3.2889,3.2863,3.2889,21891.6
51,2020-08-06 11:21:00,3.2856,3.29,3.2858,3.29,3566.94
52,2020-08-06 11:22:00,3.289,3.299,3.29,3.299,26073.8
53,2020-08-06 11:23:00,3.299,3.3091,3.299,3.3089,60466.65
54,2020-08-06 11:24:00,3.3072,3.3295,3.3089,3.324,83731.27
55,2020-08-06 11:25:00,3.3184,3.3332,3.3266,3.3193,17071.27
56,2020-08-06 11:26:00,3.3088,3.3233,3.3199,3.3233,7676.9
57,2020-08-06 11:27:00,3.318,3.3252,3.323,3.3195,8566.83
58,2020-08-06 11:28:00,3.3164,3.3599,3.3179,3.3456,60626.83
59,2020-08-06 11:29:00,3.3411,3.3573,3.346,3.354,12009.42
60,2020-08-06 11:30:00,3.3486,3.381,3.3519,3.3625,50867.72
61,2020-08-06 11:31:00,3.3542,3.373,3.3669,3.3673,17744.6
62,2020-08-06 11:32:00,3.353,3.3681,3.3673,3.353,19107.06
63,2020-08-06 11:33:00,3.3511,3.3569,3.355,3.3511,4996.32
64,2020-08-06 11:34:00,3.3491,3.355,3.3535,3.352,1945.47
65,2020-08-06 11:35:00,3.3511,3.3699,3.352,3.3678,14001.55
66,2020-08-06 11:36:00,3.3646,3.3797,3.3646,3.3787,9526.39
67,2020-08-06 11:37:00,3.373,3.4,3.3785,3.3839,42115.21
68,2020-08-06 11:38:00,3.3758,3.3875,3.3846,3.3768,7837.79
69,2020-08-06 11:39:00,3.37,3.3786,3.3767,3.3781,8818.22
70,2020-08-06 11:40:00,3.3431,3.3751,3.3751,3.3525,39418.82
71,2020-08-06 11:41:00,3.3507,3.3647,3.3534,3.3647,7422.37
72,2020-08-06 11:42:00,3.3608,3.365,3.3648,3.3631,3120.45
73,2020-08-06 11:43:00,3.3636,3.3685,3.3637,3.3652,1346.96
74,2020-08-06 11:44:00,3.3421,3.3639,3.3601,3.3497,13341.19
75,2020-08-06 11:45:00,3.3454,3.3572,3.3497,3.3572,5409.96
76,2020-08-06 11:46:00,3.355,3.3602,3.3555,3.3602,754.49
77,2020-08-06 11:47:00,3.3574,3.3611,3.3607,3.3603,1828.5
78,2020-08-06 11:48:00,3.3575,3.3623,3.3603,3.3621,4159.83
79,2020-08-06 11:49:00,3.36,3.3621,3.36,3.36,1192.24
80,2020-08-06 11:50:00,3.36,3.3699,3.362,3.3654,10797.62
81,2020-08-06 11:51:00,3.3647,3.3735,3.3657,3.3715,15387.15
82,2020-08-06 11:52:00,3.3687,3.377,3.3687,3.375,5349.26
83,2020-08-06 11:53:00,3.3714,3.3747,3.3747,3.3714,55.38
84,2020-08-06 11:54:00,3.3652,3.3777,3.3757,3.3652,650.13
85,2020-08-06 11:55:00,3.362,3.3727,3.3722,3.362,1263.15
86,2020-08-06 11:56:00,3.3612,3.3681,3.3612,3.3676,2421.93
87,2020-08-06 11:57:00,3.363,3.367,3.3668,3.363,2457.85
88,2020-08-06 11:58:00,3.3611,3.3665,3.3665,3.3655,412.54
89,2020-08-06 11:59:00,3.361,3.3665,3.3618,3.3665,3522.25
90,2020-08-06 12:00:00,3.3632,3.3692,3.3633,3.3657,1099.55
91,2020-08-06 12:01:00,3.3632,3.3694,3.3694,3.3639,1899.94
92,2020-08-06 12:02:00,3.3533,3.366,3.3639,3.3534,16878.91
93,2020-08-06 12:03:00,3.3354,3.3564,3.3482,3.3493,18321.14
94,2020-08-06 12:04:00,3.3305,3.3474,3.3387,3.3307,4503.87
95,2020-08-06 12:05:00,3.3305,3.3546,3.3308,3.3546,20391.85
96,2020-08-06 12:06:00,3.3391,3.3498,3.3478,3.3391,5397.98
