,Date,Low,High,Open,Close,Volume,Return
0,2021-03-29 15:29:00,33503.87,33599.25,33550.81,33599.25,0.014237,0.0019386155761991208
1,2021-03-29 15:30:00,33528.97,33573.47,33566.7,33528.97,0.117741,-0.0020917133566968893
2,2021-03-29 15:31:00,33535.25,33610.41,33566.53,33610.41,1.06205,0.0024289442831080255
3,2021-03-29 15:32:00,33599.93,33636.81,33601.26,33636.81,0.047189,0.0007854709299883744
4,2021-03-29 15:33:00,33601.19,33667.2,33601.19,33667.2,0.041626,0.0009034744971356812
5,2021-03-29 15:34:00,33653.09,33745.32,33653.09,33679.97,0.174252,0.0003793009219656973
6,2021-03-29 15:35:00,33673.33,33720.06,33673.33,33720.06,0.106575,0.0011903217253459442
7,2021-03-29 15:36:00,33637.53,33720.54,33720.54,33677.72,0.012898,-0.0012556324039754152
8,2021-03-29 15:38:00,33619.07,33663.52,33663.52,33661.74,0.174055,-0.00047449767977181256
9,2021-03-29 15:40:00,33571.76,33610.68,33610.68,33574.14,0.104245,-0.0026023610187708712
10,2021-03-29 15:41:00,33532.32,33585.64,33574.14,33545.0,0.101308,-0.0008679299008105268
11,2021-03-29 15:42:00,33528.97,33553.11,33550.37,33528.97,0.013908,-0.0004778655537337473
12,2021-03-29 15:43:00,33539.51,33562.55,33539.51,33539.62,0.049647,0.0003176357639378402
13,2021-03-29 15:44:00,33528.97,33546.89,33546.89,33528.97,0.040117,-0.000317534903496286
14,2021-03-29 15:45:00,33528.97,33579.94,33528.98,33550.71,0.024725,0.0006483945077941922
15,2021-03-29 15:46:00,33555.5,33587.42,33555.5,33557.89,0.015721,0.00021400441302144024
16,2021-03-29 15:47:00,33525.33,33547.99,33528.97,33547.99,0.039939,-0.0002950125886937993
17,2021-03-29 15:48:00,33545.38,33572.01,33572.01,33545.38,0.029925,-7.779899779392085e-05
18,2021-03-29 15:49:00,33584.1,33614.88,33606.55,33614.87,0.042494,0.0020715222185589965
